Title,Overall Rating,Year,Genre,MPAA Rating,Directors,Actors,Plot
The Signal,6.1,-2007,"Horror, Sci-Fi, Thriller",R,"['David Bruckner', 'Dan Bush', 'Jacob Gentry']","['Anessa Ramsey', 'Justin Welborn', 'Scott Poythress', 'Sahr Ngaujah']","A horror film told in three parts, from three perspectives, in which a mysterious transmission that turns people into killers invades every cell phone, radio, and television."
My Name Is Bruce,6.3,-2007,"Comedy, Fantasy, Horror",R,['Bruce Campbell'],"['Bruce Campbell', 'Grace Thorsen', 'Taylor Sharpe', 'Ted Raimi']","Mistaken for his character Ash from the 'Evil Dead' trilogy,"
Evening,6.5,-2007,"Drama, Romance",PG-13,['Lajos Koltai'],"['Vanessa Redgrave', 'Toni Collette', 'Claire Danes', 'Patrick Wilson']","A drama exploring the romantic past and emotional present of Ann Grant and her daughters, Constance and Nina. As Ann lays dying, she remembers, and is moved to convey to her daughters, the defining moments in her life 50 years prior, when she was a young woman. Harris is the man Ann loves in the 1950s and never forgets."
Illegal Tender,5.6,-2007,"Crime, Drama, Thriller",R,['Franc. Reyes'],"['Rick Gonzalez', 'Wanda De Jesus', 'Dania Ramirez', 'Michael Philip Del Rio']","When the thugs who killed his father come looking for him, a young Latino man and his mother flee from their home."
The Seeker: The Dark Is Rising,4.8,-2007,"Adventure, Drama, Family",PG,['David L. Cunningham'],"['Alexander Ludwig', 'Ian McShane', 'Christopher Eccleston', 'Frances Conroy']",A boy's life is turned upside down when he learns that he is the last of a group of immortal warriors who have dedicated their lives to fighting the forces of the dark.
The Edge of Heaven,7.9,-2007,Drama,Not Rated,['Fatih Akin'],"['Baki Davrak', 'G\xc3\xbcrsoy Gemec', 'Cengiz Daner', 'Tuncel Kurtiz']",A Turkish man travels to Istanbul to find the daughter of his father's former girlfriend.
Smiley Face,5.8,-2007,Comedy,R,['Gregg Araki'],"['Anna Faris', 'John Krasinski', 'Adam Brody', 'Roscoe Lee Browne']","After a young actress unknowingly eats her roommate's marijuana cupcakes, her day becomes a series of misadventures."
YPF,6.3,-2007,"Comedy, Drama, Romance",,['Martin Gero'],"['Aaron Abrams', 'Carly Pope', 'Kristin Booth', 'Josh Dean']","On a Tuesday night, five couples have separate sexual adventures."
Descent,4.8,-2007,"Drama, Thriller",R,['Talia Lugacy'],"['Rosario Dawson', 'Chad Faust', 'Marcus Patrick', 'Vanessa Ferlito']",A college co-ed is brutally raped and struggles alone to rebuild her life.
Fred Claus,5.6,-2007,"Comedy, Family, Fantasy",PG,['David Dobkin'],"['Vince Vaughn', 'Paul Giamatti', 'Elizabeth Banks', 'John Michael Higgins']","Fred Claus, Santa's bitter older brother, is forced to move to the North Pole to help Santa and the elves prepare for Christmas in exchange for cash."
Borderland,5.6,-2007,"Crime, Horror, Thriller",R,['Zev Berman'],"['Brian Presley', 'Jake Muxworthy', 'Rider Strong', 'Beto Cuevas']","On a trip to a Mexican border town, three college friends stumble upon a human-sacrifice cult."
I Think I Love My Wife,5.5,-2007,"Comedy, Drama, Romance",R,['Chris Rock'],"['Chris Rock', 'Kerry Washington', 'Gina Torres', 'Steve Buscemi']",A married man who daydreams about being with other women finds his will and morals tested after he's visited by the ex-mistress of his old friend.
Mr. Woodcock,5.1,-2007,"Comedy, Romance, Sport",PG-13,['Craig Gillespie'],"['Billy Bob Thornton', 'Seann William Scott', 'Susan Sarandon', 'Amy Poehler']","Taken aback by his mother's wedding announcement, a young man returns home in an effort to stop her from marrying his old high school gym teacher, a man who made middle school hell for generations of students."
Talk to Me,7.4,-2007,"Biography, Drama, History",R,['Kasi Lemmons'],"['Don Cheadle', 'Chiwetel Ejiofor', 'Bruce McFee', 'Mike Epps']","The story of Washington D.C. radio personality Ralph ""Petey"" Greene, an ex-con who became a popular talk show host and community activist in the 1960s."
The Gene Generation,4.3,-2007,"Action, Sci-Fi",R,['Pearry Reginald Teo'],"['Bai Ling', 'Alec Newman', 'Parry Shen', 'Faye Dunaway']","Michelle, an assassin to a new breed of killers (DNA Hackers), finds she has greater obstacles in her life... Family."
Sword of the Stranger,7.8,-2007,"Animation, Action, Adventure",Not Rated,['Masahiro And\xc3\xb4'],"['Tomoya Nagase', 'Yuri Chinen', 'K\xc3\xb4ichi Yamadera', 'Akio \xc3\x94tsuka']","A swordsman from a strange land is caught in a struggle between morality, righteousness, and devotion as he reluctantly agrees to take a raggedy boy and his dog to a remote, Buddhist temple."
Om Shanti Om,6.7,-2007,"Action, Comedy, Drama",PG-13,['Farah Khan'],"['Shah Rukh Khan', 'Deepika Padukone', 'Arjun Rampal', 'Kiron Kher']","In the 1970s, Om, an aspiring actor, is murdered, but is immediately reincarnated into the present day. He attempts to discover the mystery of his demise and find Shanti, the love of his previous life."
The Air I Breathe,6.9,-2007,"Crime, Drama, Thriller",R,['Jieho Lee'],"['Brendan Fraser', 'Sarah Michelle Gellar', 'Andy Garcia', 'Kevin Bacon']","A drama based on an ancient Chinese proverb that breaks life down into four emotional cornerstones: happiness, pleasure, sorrow and love. A businessman bets his life on a horse race; a gangster sees the future; a pop star falls prey to a crime boss; a doctor must save the love of his life."
Flawless,6.8,-2007,"Crime, Drama, Thriller",PG-13,['Michael Radford'],"['Demi Moore', 'Michael Caine', 'Lambert Wilson', 'Nathaniel Parker']","In 1960s London, an elderly caretaker convinces a glass-ceiling constrained American executive to help him steal a handful of diamonds from their employer, the London Diamond Corporation."
The Hunting Party,6.9,-2007,"Adventure, Comedy, Drama",R,['Richard Shepard'],"['Richard Gere', 'Terrence Howard', 'Jesse Eisenberg', 'Gordana Vukres']","A young journalist, a seasoned cameraman and a discredited war correspondent embark on an unauthorized mission to find the No.1 war criminal in Bosnia. However, their extremely dangerous target decides to come after them."
Battle in Seattle,6.7,-2007,"Action, Drama",R,['Stuart Townsend'],"['Andr\xc3\xa9 Benjamin', 'Jennifer Carpenter', 'Isaach De Bankol\xc3\xa9', 'Woody Harrelson']","Activists arrive in Seattle, Washington en masse to protest a meeting of the World Trade Organization. Riots and chaos ensue as demonstrators successfully stop the WTO meetings."
Sex and Breakfast,4.9,-2007,"Comedy, Drama, Romance",R,['Miles Brandman'],"['Macaulay Culkin', 'Kuno Becker', 'Eliza Dushku', 'Alexis Dziena']",Two young couples take a swing at handling their relationship problems through psychologist-prescribed partner-swapping.
Pan's Labyrinth,8.2,-2006,"Drama, Fantasy, War",R,['Guillermo del Toro'],"['Ivana Baquero', 'Ariadna Gil', 'Sergi L\xc3\xb3pez', 'Maribel Verd\xc3\xba']","In the falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world."
300,7.7,-2006,"Action, Fantasy",R,['Zack Snyder'],"['Gerard Butler', 'Lena Headey', 'David Wenham', 'Dominic West']",King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.
The Departed,8.5,-2006,"Crime, Drama, Thriller",R,['Martin Scorsese'],"['Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson', 'Mark Wahlberg']",An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
The Prestige,8.5,-2006,"Drama, Mystery, Sci-Fi",PG-13,['Christopher Nolan'],"['Christian Bale', 'Hugh Jackman', 'Scarlett Johansson', 'Michael Caine']",After a tragic accident two stage magicians engage in a battle to create the ultimate illusion whilst sacrificing everything they have to outwit the other.
Beerfest,6.3,-2006,Comedy,R,['Jay Chandrasekhar'],"['Jay Chandrasekhar', 'Kevin Heffernan', 'Steve Lemme', 'Paul Soter']","Two brothers travel to Germany for Oktoberfest, only to stumble upon a secret, centuries-old competition described as a ""Fight Club"" with beer games."
The Devil Wears Prada,6.9,-2006,"Comedy, Drama",PG-13,['David Frankel'],"['Anne Hathaway', 'Meryl Streep', 'Adrian Grenier', 'Emily Blunt']","A smart but sensible new graduate lands a job as an assistant to Miranda Priestly, the demanding editor-in-chief of a high fashion magazine."
Cars,7.1,-2006,"Animation, Comedy, Family",G,"['John Lasseter', 'Joe Ranft']","['Owen Wilson', 'Bonnie Hunt', 'Paul Newman', 'Larry the Cable Guy']","A hot-shot race-car named Lightning McQueen gets waylaid in Radiator Springs, where he finds the true meaning of friendship and family."
The Fast and the Furious: Tokyo Drift,6,-2006,"Action, Crime, Thriller",PG-13,['Justin Lin'],"['Lucas Black', 'Zachery Ty Bryan', 'Shad Moss', 'Damien Marzette']",A teenager becomes a major competitor in the world of drift racing after moving in with his father in Tokyo to avoid a jail sentence in America.
Casino Royale,8,-2006,"Action, Adventure, Thriller",PG-13,['Martin Campbell'],"['Daniel Craig', 'Eva Green', 'Judi Dench', 'Jeffrey Wright']","Armed with a license to kill, Secret Agent James Bond sets out on his first mission as 007, and must defeat a private banker to terrorists in a high stakes game of poker at Casino Royale, Montenegro, but things are not what they seem."
Apocalypto,7.8,-2006,"Action, Adventure, Drama",R,['Mel Gibson'],"['Gerardo Taracena', 'Raoul Max Trujillo', 'Dalia Hern\xc3\xa1ndez', 'Rudy Youngblood']","As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression."
The Lives of Others,8.5,-2006,"Drama, Thriller",R,['Florian Henckel von Donnersmarck'],"['Ulrich M\xc3\xbche', 'Martina Gedeck', 'Sebastian Koch', 'Ulrich Tukur']","In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives."
Children of Men,7.9,-2006,"Drama, Sci-Fi, Thriller",R,['Alfonso Cuar\xc3\xb3n'],"['Julianne Moore', 'Clive Owen', 'Chiwetel Ejiofor', 'Michael Caine']","In 2027, in a chaotic world in which women have become somehow infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea."
Pirates of the Caribbean: Dead Man's Chest,7.3,-2006,"Action, Adventure, Fantasy",PG-13,['Gore Verbinski'],"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley', 'Jack Davenport']","Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well."
Marie Antoinette,6.4,-2006,"Biography, Drama, History",PG-13,['Sofia Coppola'],"['Kirsten Dunst', 'Jason Schwartzman', 'Rip Torn', 'Judy Davis']","The retelling of France's iconic but ill-fated queen, Marie Antoinette. From her betrothal and marriage to Louis XVI at 15 to her reign as queen at 19 and to the end of her reign as queen, and ultimately the fall of Versailles."
Inside Man,7.6,-2006,"Crime, Drama, Mystery",R,['Spike Lee'],"['Denzel Washington', 'Clive Owen', 'Jodie Foster', 'Christopher Plummer']","A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation."
The Pursuit of Happyness,8,-2006,"Biography, Drama",PG-13,['Gabriele Muccino'],"['Will Smith', 'Thandie Newton', 'Jaden Smith', 'Brian Howe']",A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.
She's the Man,6.4,-2006,"Comedy, Romance, Sport",PG-13,['Andy Fickman'],"['Amanda Bynes', 'Laura Ramsey', 'Channing Tatum', 'Vinnie Jones']","When her brother decides to ditch for a couple weeks, Viola heads over to his elite boarding school, disguised as him, and proceeds to fall for one of his soccer teammates, and soon learns she's not the only one with romantic troubles."
Talladega Nights: The Ballad of Ricky Bobby,6.6,-2006,"Action, Comedy, Sport",PG-13,['Adam McKay'],"['Will Ferrell', 'John C. Reilly', 'Sacha Baron Cohen', 'Gary Cole']","Number one NASCAR driver Ricky Bobby stays atop the heap thanks to a pact with his best friend and teammate, Cal Naughton, Jr. But when a French Formula One driver, makes his way up the ladder, Ricky Bobby's talent and devotion are put to the test."
Blood Diamond,8,-2006,"Adventure, Drama, Thriller",R,['Edward Zwick'],"['Leonardo DiCaprio', 'Djimon Hounsou', 'Jennifer Connelly', 'Kagiso Kuypers']","A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond."
Idiocracy,6.6,-2006,"Adventure, Comedy, Sci-Fi",R,['Mike Judge'],"['Luke Wilson', 'Maya Rudolph', 'Dax Shepard', 'Terry Crews']","Private Joe Bauers, the definition of ""average American"", is selected by the Pentagon to be the guinea pig for a top-secret hibernation program. Forgotten, he awakes five centuries in the future. He discovers a society so incredibly dumbed down that he's easily the most intelligent person alive."
Silent Hill,6.6,-2006,"Adventure, Horror, Mystery",R,['Christophe Gans'],"['Radha Mitchell', 'Laurie Holden', 'Sean Bean', 'Deborah Kara Unger']","A woman, Rose, goes in search for her adopted daughter within the confines of a strange, desolate town called Silent Hill."
Flags of our Fathers,7.1,-2006,"Drama, History, War",R,['Clint Eastwood'],"['Ryan Phillippe', 'Barry Pepper', 'Joseph Cross', 'Jesse Bradford']","The life stories of the six men who raised the flag at the Battle of Iwo Jima, a turning point in World War II."
Factory Girl,6.4,-2006,"Biography, Drama",R,['George Hickenlooper'],"['Sienna Miller', 'Guy Pearce', 'Hayden Christensen', 'Jimmy Fallon']",Based on the rise and fall of socialite
When a Stranger Calls,5.1,-2006,"Crime, Horror, Mystery",PG-13,['Simon West'],"['Camilla Belle', 'Tommy Flanagan', 'Katie Cassidy', 'Tessa Thompson']","During a babysitting gig, a high-school student is harassed by an increasingly threatening prank caller."
Clerks II,7.4,-2006,Comedy,R,['Kevin Smith'],"[""Brian O'Halloran"", 'Jeff Anderson', 'Rosario Dawson', 'Jason Mewes']",A calamity at Dante and Randal's shops sends them looking for new horizons - but they ultimately settle at the fast food empire Mooby's.
Stay Alive,5.1,-2006,"Fantasy, Horror, Sci-Fi",PG-13,['William Brent Bell'],"['Jon Foster', 'Samaire Armstrong', 'Frankie Muniz', 'Jimmi Simpson']","For a group of teens, the answer to the mysterious death of their old friend lies within the world of an online video game based on the true story of an ancient noblewoman known as the Blood Countess."
Glory Road,7.2,-2006,"Biography, Drama, Sport",PG,['James Gartner'],"['Josh Lucas', 'Derek Luke', 'Austin Nichols', 'Jon Voight']","In 1966, Texas Western coach Don Haskins led the first all-black starting line-up for a college basketball team to the NCAA national championship."
Invincible,7.1,-2006,"Biography, Drama, Sport",PG,['Ericson Core'],"['Mark Wahlberg', 'Greg Kinnear', 'Elizabeth Banks', 'Kevin Conway']","Based on the story of Vince Papale, a 30-year-old bartender from South Philadelphia who overcame long odds to play for the NFL's Philadelphia Eagles in 1976."
The Break-Up,5.8,-2006,"Comedy, Drama, Romance",PG-13,['Peyton Reed'],"['Jennifer Aniston', 'Vince Vaughn', 'Jon Favreau', 'Joey Lauren Adams']","In a bid to keep their luxurious condo from their significant other, a couple's break-up proceeds to get uglier and nastier by the moment."
16 Blocks,6.6,-2006,"Action, Crime, Drama",PG-13,['Richard Donner'],"['Bruce Willis', 'Yasiin Bey', 'David Morse', 'Jenna Stern']","An aging alcoholic cop is assigned the task of escorting a witness from police custody to a courthouse 16 blocks away. There are, however, chaotic forces at work that prevent them from making it in one piece."
Catch and Release,6,(II) (2006),"Comedy, Drama, Romance",PG-13,['Susannah Grant'],"['Jennifer Garner', 'Timothy Olyphant', 'Kevin Smith', 'Sam Jaeger']",A woman struggles to accept the death of her fianc̩ and the secrets he kept from her as she rebuilds her life.
Just My Luck,5.4,-2006,"Comedy, Fantasy, Romance",PG-13,['Donald Petrie'],"['Lindsay Lohan', 'Chris Pine', 'Samaire Armstrong', 'Bree Turner']","Manhattanite Ashley is known to many as the luckiest woman around. After a chance encounter with a down-and-out young man, however, she realizes that she's swapped her fortune for his."
Little Miss Sunshine,7.8,-2006,"Comedy, Drama",R,"['Jonathan Dayton', 'Valerie Faris']","['Steve Carell', 'Toni Collette', 'Greg Kinnear', 'Abigail Breslin']",A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.
The Illusionist,7.6,-2006,"Drama, Mystery, Romance",PG-13,['Neil Burger'],"['Edward Norton', 'Jessica Biel', 'Paul Giamatti', 'Rufus Sewell']","In turn-of-the-century Vienna, a magician uses his abilities to secure the love of a woman far above his social standing."
Night at the Museum,6.4,-2006,"Adventure, Comedy, Family",PG,['Shawn Levy'],"['Ben Stiller', 'Carla Gugino', 'Ricky Gervais', 'Dick Van Dyke']",A newly recruited night security guard at the Museum of Natural History discovers that an ancient curse causes the animals and exhibits on display to come to life and wreak havoc.
The Hills Have Eyes,6.4,-2006,Horror,R,['Alexandre Aja'],"['Ted Levine', 'Kathleen Quinlan', 'Dan Byrd', 'Emilie de Ravin']","A suburban American family is being stalked by a group of psychotic people who live in the desert, far away from civilization."
Perfume: The Story of a Murderer,7.5,-2006,"Crime, Drama, Fantasy",R,['Tom Tykwer'],"['Ben Whishaw', 'Dustin Hoffman', 'Alan Rickman', 'Francesc Albiol']","Jean-Baptiste Grenouille, born with a superior olfactory sense, creates the world's finest perfume. His work, however, takes a dark turn as he searches for the ultimate scent."
Click,6.4,-2006,"Comedy, Drama, Fantasy",PG-13,['Frank Coraci'],"['Adam Sandler', 'Kate Beckinsale', 'Christopher Walken', 'David Hasselhoff']",A workaholic architect finds a universal remote that allows him to fast-forward and rewind to different parts of his life. Complications arise when the remote starts to overrule his choices.
Superman Returns,6.1,-2006,"Action, Adventure, Sci-Fi",PG-13,['Bryan Singer'],"['Brandon Routh', 'Kevin Spacey', 'Kate Bosworth', 'James Marsden']","Superman reappears after a long absence, but is challenged by an old foe who uses Kryptonian technology for world domination."
The Fountain,7.3,-2006,"Drama, Sci-Fi",PG-13,['Darren Aronofsky'],"['Hugh Jackman', 'Rachel Weisz', 'Sean Patrick Thomas', 'Ellen Burstyn']","As a modern-day scientist, Tommy is struggling with mortality, desperately searching for the medical breakthrough that will save the life of his cancer-stricken wife, Izzi."
This Is England,7.7,-2006,"Crime, Drama",Not Rated,['Shane Meadows'],"['Thomas Turgoose', 'Stephen Graham', 'Jo Hartley', 'Andrew Shim']","A young boy becomes friends with a gang of skinheads. Friends soon become like family, and relationships will be pushed to the very limit."
Babel,7.5,(I) (2006),Drama,R,['Alejandro G. I\xc3\xb1\xc3\xa1rritu'],"['Brad Pitt', 'Cate Blanchett', 'Gael Garc\xc3\xada Bernal', 'Mohamed Akhzam']","Tragedy strikes a married couple on vacation in the Moroccan desert, touching off an interlocking story involving four different families."
