id,Title,Overall Rating,Year,Genre,MPAA Rating,Directors,Actors,Plot
921,The Act of Killing,3.38/4,2013,Documentary,NR,"Joshua Oppenheimer,Christine Cynn","Safit Pardede, Anwar Congo, Yapto Soerjosoemarno",A group of the Indonesian death squad leaders - who helped purge communists in the violent 1965-1966 Indonesian killings - are given a chance to re-enact their most brutal killings in a Hollywood style of their choosing.
922,Dallas Buyers Club,3.24/4,2013,Drama,R,Jean-Marc Vall̩e,"Matthew McConaughey, Jared Leto, Jennifer Garner","In 1986, Texas electrician Ron Woodroof was diagnosed as HIV positive and found it nearly impossible dealing with the medical establishment and pharmaceutical companies in finding proper treatment. Seeing no other alternative, he came up with his own solution, and helped many HIV-positive people like him in the process."
923,Prisoners (2013),3.22/4,2013,Crime/Drama,R,Denis Villeneuve,"Jake Gyllenhaal, Hugh Jackman, Terrence Howard","When his daughter and her best friend go missing, a Boston man tracks down the person he believes is responsible and kidnaps him in return."
924,Short Term 12,3.27/4,2013,Drama,R,Destin Cretton,"Brie Larson, John Gallagher Jr., Kaitlyn Dever","A 20-something works as a supervising staff member in the foster care system and she navigates this world while also dealing with her co-worker, and longtime boyfriend."
925,Blackfish,3.20/4,2013,Documentary,PG-13,Gabriela Cowperthwaite,"Tilikum, Kim Ashdown, Samantha Berg","Documentary that explores the nature of keeping wild animals captive with the story of Tilikum - a killer whale responsible for three deaths, including that of a top whale trainer."
926,Gravity,3.07/4,2013,Sci-Fi/Thriller,PG-13,Alfonso Cuar_n,"George Clooney, Sandra Bullock, Basher Savage",Two astronauts attempt to return to Earth after a collision with space debris leaves them stranded in space.
927,Her,3.12/4,2013,Comedy/Romance,R,Spike Jonze,"Scarlett Johansson, Joaquin Phoenix, Olivia Wilde","When a lonely author purchases a new operating system promising to meet his ""every need"" he is surprised to discover a very real relationship forming with this state-of-the-art technology."
928,Lone Survivor,3.12/4,2013,Action/Drama,R,Peter Berg,"Mark Wahlberg, Taylor Kitsch, Alexander Ludwig","On June 28, 2005 ""Operation Red Wings"" went into effect. Four elite SEAL Team 10 members were sent to take down Taliban leader Ahmad Shahd when things went wrong. At the end of the day only Marcus Luttrell walked out alive."
929,"Past, The ( pass̩, Le )",3.32/4,2013,Drama/Mystery,PG-13,Asghar Farhadi,"B̩r̩nice Bejo, Tahar Rahim, Ali Mosaffa",An Iranian man abandons his French wife and two children in order to return home. He doesn't realize the consequences of his actions until his wife starts a new relationship... and requests a divorce.
930,Fruitvale Station,3.16/4,2013,Drama,R,Ryan Coogler,"Michael B. Jordan, Melonie Diaz, Octavia Spencer","Based on the true story of Oscar Grant, who wakes up on Dec. 21, 2008 and feels something in the air - and resolves to change things - with his mother, his girlfriend, his 4-year-old daughter - but change is not easy and as he interacts with the family, friends and strangers throughout the day - he ends at Fruitvale BART station, where one more encounter, with police officers, will shake a city to it core."
931,Captain Phillips,3.10/4,2013,Drama,PG-13,Paul Greengrass,"Tom Hanks, Barkhad Abdi, Michael Chernus","Based on the true story of US-flagged MV Maersk Alabama, led by Captain Richard Phillips which, in 2009, became the first American cargo ship in 200 years to be hijacked by pirates - in this case, Somali pirates."
932,Rosewater,2.65/4,2014,Drama,R,Jon Stewart,"Shohreh Aghdashloo, Gael Garc_a Bernal, Golshifteh Farahani","London journalist Maziar Bahari is in Iran covering the presidential election. But as he digs deeper into the truth, he becomes a target, soon landing in a detention center where he undergoes brutal interrogation during his nearly year-long ordeal."
933,You're Not You,2.69/4,2014,Drama,R,George C. Wolfe,"Ali Larter, Emmy Rossum, Josh Duhamel","A terminally ill woman forms a bond with the young, aimless caretaker assigned to her."
934,Rush (2013),3.09/4,2013,Biography/Drama,R,Ron Howard,"Olivia Wilde, Chris Hemsworth, Daniel Br_hl","The story of Formula 1 driver Niki Lauda who, throughout the 1970s, shared a rivalry with English playboy James Hunt. On and off the track, the two shared a much different approach to racing and life but nothing topped the 1976 in which Lauda was involved in crash that nearly claimed his life, but weeks later, challenged Hunt once again."
935,"Lunchbox, The ( Dabba )",3.29/4,2013,Drama/Romance,NR,Ritesh Batra,"Irrfan Khan, Nimrat Kaur, Nawazuddin Siddiqui","Mumbai's Dabbawalas is an extremely efficient lunchbox delivery service, but a happy accident suddenly has a widower nearing retirement start up a relationship, via notes in the lunchbox, to an unhappy housewife."
936,Monsters University,3.04/4,2013,Animation/Adventure,G,Dan Scanlon,"John Goodman, Billy Crystal, Helen Mirren","Before Monsters Inc., Mike and Sulley had to attend the University of Fear - where the two didn't exactly get along."
937,"Blue is the Warmest Color ( vie d'Ad̬le, La )",3.13/4,2013,Drama/Romance,NC-17,Abdellatif Kechiche,"L̩a Seydoux, Ad̬le Exarchopoulos, Salim Kechiouche",Explores the relationship between a  young lesbian couple from inception all the way through to one possible end.
938,The Hunger Games: Catching Fire,3.00/4,2013,Action/Drama,PG-13,Francis Lawrence,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth","Based on the second book in Suzanne Collin's Hunger Games trilogy: Following their dual victory in the Hunger Games, Katniss and Peeta find themselves on the mandatory post-games victory tour through each of the districts. Katniss also finds herself torn between her relationship with Peeta and Gale. Yet their subversive victory has stirred up some districts and rumors of rebellion run rampant. The Capitol must figure out a way to quell this growing unrest and comes up with a novel solution for the 75th Annual Hunger Games: bringing back past winners to fight once again and this time there will be no compromise."
939,Inside Llewyn Davis,3.07/4,2013,Drama,R,"Ethan Coen, Joel Coen","Carey Mulligan, Oscar Isaac, Justin Timberlake",A trip through New York's folk music scene in the 1960s as a singer-songwriter does his best to make it through these times.
940,Frozen (2013),3.00/4,2013,Animation/Adventure,PG,"Chris Buck, Jennifer Lee","Kristen Bell, Idina Menzel, Josh Gad","The kingdom of Arendelle are under a constant eternal winter due to the icy powers of Elsa. But that doesn't deter her sister, Anna, from trying to break the spell. Facing daunting conditions, mystical trolls and one wacky snowman, she will team up with rugged mountain man Kristoff (and his reindeer Sven) in order to save her kingdom."
941,Mud,3.04/4,2013,Drama,PG-13,Jeff Nichols,"Reese Witherspoon, Michael Shannon, Matthew McConaughey",A fugitive looking to reunite with the love of his life happens across two teenage boys and the three form a pact to help him evade his pursuers and complete his quest.
942,P.K.,2.88/4,2014,Comedy/Drama,NR,Rajkumar Hirani,"Aamir Khan, Anushka Sharma, Sanjay Dutt","A stranger in the city asking innocent questions with childlike curiosity with major consequences. A journey of love, laughter and letting go - and shaking up the establishment."
943,The Book Thief,3.04/4,2013,Drama,PG-13,Brian Percival,"Geoffrey Rush, Emily Watson, Sophie N̩lisse","As Germany is plunged into the horrors of WWII, a young girl, Liesel, finds solace by stealing books and sharing them with others. Meanwhile, her adoptive parents are sheltering a Jewish refuge under their stairs."
944,American Hustle,2.96/4,2013,Drama/Historical,R,David O. Russell,"Bradley Cooper, Christian Bale, Jennifer Lawrence","A con artist and his partner are forced into an alliance with a federal agent where they work against people just like them - all in a bid to bring down the corrupt, volatile mayor of Camden, New Jersey."
945,Disconnect (2013),3.05/4,2013,Drama/Thriller,R,Henry Alex Rubin,"Jason Bateman, Max Thieriot, Andrea Riseborough","As the world becomes more connected digitally - do we lose human connection in the process? This series of interconnected stories concerns a lawyer who is more attached to his cell phone than his own family, a couple dealing with their secrets being exposed online, an ex-cop with a cyber-bullying son and a journalist looking for scoop found in a teen working on an adult internet site."
946,Saving Mr. Banks,3.00/4,2013,Drama,PG-13,John Lee Hancock,"Tom Hanks, Colin Farrell, Emma Thompson","Author P.L. Travers leaves London for the bright lights of Hollywood as Walt Disney adapts her novel, Mary Poppins, to the big screen... despite her misgivings."
947,Iron Man 3,2.92/4,2013,Action/Sci-Fi,PG-13,Shane Black,"Robert Downey Jr., Don Cheadle, Gwyneth Paltrow","Tony Stark has just helped save the world from an intergalactic threat, but he faces a new, deadly enemy - one who brings low all he has built and seeks to destroy all he holds dear. With his back against the wall, he will have to rely on his own instinct and ingenuity to save the ones he cares about the most."
948,Upstream Color,3.07/4,2013,Drama,NR,Shane Carruth,"Shane Carruth, Amy Seimetz, Mollie Milligan","A man and woman adrift, entangled - struggling to come to grips with reality and identity as the fragments of their lives come together."
949,Despicable Me 2,2.95/4,2013,Animation/Comedy,PG,"Pierre Coffin, Chris Renaud","Steve Carell, Kristen Wiig, Miranda Cosgrove","The famed Anti-Villain League needs help taking down a new global terror and they turn to the baddest of them all: Gru... only he's not so bad anymore after turning into a father for Margo, Agnes, and Edith. But maybe there's enough evil left inside him to help after all... certainly the minions are on board."
950,Nebraska,3.00/4,2013,Drama/Adventure,R,Alexander Payne,"Will Forte, Bruce Dern, Bob Odenkirk","When a booze-addled father receives a sweepstakes megaprize notice in the mail, his dreams of riches send him on a trip to Nebraska with his none-too-eager estranged son."
951,Before Midnight (2013),3.00/4,2013,Drama,R,Richard Linklater,"Ethan Hawke, Julie Delpy, Seamus Davey-Fitzpatrick","Two decades after their fateful meeting on a train bound for Vienna, we meet back up with Jesse and Celine now in Greece."
952,Inch'Allah,3.40/4,2013,Drama,R,Anas Barbeau-Lavalette,"Evelyne Brochu, Sabrina Ouazani, Sivan Levy","Chloe is a young Canadian doctor who travels between Ramallah and Jerusalem each day. She is close to people on both sides of the conflict, but remains a perpetual outsider. She does her best to bridge the gap between the two sides, but every day is a test."
953,Wolf Children ( Okami kodomo no ame to yuki ),3.33/4,2013,Anime/Drama,PG,Mamoru Hosoda,"Kumiko As̫, Colleen Clinkenbeard, Megumi Hayashibara","The story of student who fell in love with a young man who had a secret - he was actually a wolf - and when fate suddenly takes him away, she is forced to raise their children alone. Because of their unique nature, she faces many trials, but the love is always there, even when the children older and wandering farther away."
954,"Great Beauty, The ( grande bellezza, La )",3.20/4,2013,Comedy/Drama,NR,Paolo Sorrentino,"Toni Servillo, Carlo Verdone, Sabrina Ferilli",Jep Gambardella has been a lethal Lothario in Rome for decades. But after his 65th birthday he gets a shock from the past - one that will have him re-examining his lifestyle and maybe find true beauty.
955,The Conjuring,3.07/4,2013,Horror/Thriller,R,James Wan,"Ron Livingston, Vera Farmiga, Patrick Wilson",Based on an actual paranormal investigations - a family experiences unexplained events after moving to secluded farmhouse in New England.
956,Star Trek Into Darkness,3.04/4,2013,Sci-Fi/Adventure,PG-13,J.J. Abrams,"Chris Pine, Zachary Quinto, Benedict Cumberbatch","Captain Kirk and the Enterprise are called back home after a member from their own ranks becomes an unstoppable one-man army, looking to not only unleash terror across Earth, but the entire Federation. Tracking him to a war-torn world, Kirk has a personal score to settle and has to rely on the only family he has left: his crew."
957,Jodorowsky's Dune,3.27/4,2013,Documentary,PG-13,Frank Pavich,"Alejandro Jodorowsky, Michel Seydoux, H.R. Giger","Alejandro Jodorowsky is a cult filmmaker best known for his surrealistic tales El Topo, The Holy Mountain and Santa Sangre. Yet in the mid 1970s, he attempted to create his masterpiece - adapting Frank Herbert's 1965 novel, Dune, to the big screen. Spending $2 million to convince the likes of artist H.R. Giger, Salvador Dali, actor Orson Welles and musician Mick Jagger and to help in creating his epic, he failed to convince investors (and a purported hours long running time didn't help) and in the end was a failed vision. But the director still has his Dune bible - and we get a glimpse of what could have been."
958,The Hobbit: The Desolation of Smaug,3.04/4,2013,Adventure/Fantasy,PG-13,Peter Jackson,"Martin Freeman, Richard Armitage, Ian McKellen","Bilbo Baggins, with Thorin and company, have successfully navigated the Misty Mountains. Now they face the new danger of the Mirkwood Forest - and Gandalf has left them to themselves. If they can make it to the human settlement of Lake-town, Biblo will have to live up to his ""burglar"" contract and use the secret door of Lonely Mountain and confront the dragon Smaug."
959,Space Pirate Captain Harlock ( Harlock: Space Pirate ),3.40/4,2013,Animation/Adventure,NR,Shinji Aramaki,"Y Aoi, Shun Oguri, Miyuki Sawashiro",
960,Philomena,2.98/4,2013,Drama,PG-13,Stephen Frears,"Judi Dench, Steve Coogan, Sophie Kennedy Clark",A saavy but world-weary political journalist settles on a story involving a woman looking for the son she was forced to give up after she became pregnant and was relocated to a convent.
961,Blue Ruin,2.99/4,2013,Thriller,R,Jeremy Saulnier,"Macon Blair, Devin Ratray, Amy Hargreaves",A loner returns home after long absence in order to carry out vengeance as he sees fit. But his revenge is not well planned and before he knows it his act puts his estranged family in dangers unless he fights back.
962,"Batman: The Dark Knight Returns, Part 2",2.98/4,2013,Animation/Action,PG-13,Jay Oliva,"Peter Weller, Ariel Winter, Michael Emerson","After 10 years, Batman has returned, but his presence is seemingly not welcomed: the Gotham police want him arrested,a familiar foe is looking for a reunion and The Man of Tomorrow has the support of the Feds to put him down."
963,The Physician,3.14/4,2013,Adventure/Drama,R,Philipp Sțlzl,"Tom Payne, Stellan Skarsg̴rd, Olivier Martinez","A young Englishman pretends to be a Jew in Persian city of Isfahan, in order to become a surgeon under the tutelage of one of the greatest scientists of the medieval times, Ibn Sina."
964,We're the Millers,2.90/4,2013,Comedy,R,Rawson Marshall Thurber,"Jennifer Aniston, Emma Roberts, Ed Helms",A long-time pot dealer comes up with a perfect plan to move a huge shipment from Mexico into the U.S. - he will create a brand new fake family to cover his tracks.
965,Now You See Me,2.89/4,2013,Thriller,PG-13,Louis Leterrier,"Woody Harrelson, Isla Fisher, Morgan Freeman",The FBI are after a thieving group of illusionists who pull off spectacular heists during their show and give audiences the loot.
966,The Selfish Giant,3.17/4,2013,Drama,NR,Clio Barnard,"Conner Chapman, Shaun Thomas, Sean Gilder","Two 13-year-old friends from working-class families decides to make their own fortunes. They turn to a local scrap dealer (and criminal) for their venture, but it leads to tragic consequences."
967,"The Way, Way Back",2.94/4,2013,Comedy,PG-13,"Nat Faxon, Jim Rash","AnnaSophia Robb, Steve Carell, Sam Rockwell","A 14-year-old isn't looking forward to the summer, as he has to deal with his single-mom's new overbearning boyfriend, Trent. Although he has trouble finding his way, at a local run-down waterpark where he takes a job he finds a mentor in the laid-back manager."
968,About Time,3.04/4,2013,Comedy/Drama,R,Richard Curtis,"Rachel McAdams, Bill Nighy, Tom Hollander","At age 21, Tim Lake is told an incredible secret by his father: all the men in their family have the ability to travel through time. Although he can't change history - he can change his his own fate - and so Tim goes about trying to find the a girlfriend. What seems to be an easy task is anything but - until he finds Mary. Despite some time-travel issues, eventually he gets things right - plans the perfect proposal and marriage - yet even after everything, there are some things you can't fix with time travel."
969,The Place Beyond the Pines,2.99/4,2013,Crime/Drama,R,Derek Cianfrance,"Ryan Gosling, Bradley Cooper, Rose Byrne","A daredevil motorcyclist quits his carnival job when he learns a former lover has a son - and he now has a family. In order to provide for them, he takes on a series of bank robberies, putting all his riding skills to good use. But this puts him on a crash course with an ambitious police officer looking for a quick way to rise through the ranks of his corrupt precinct. Over the course of 15 years, the story unfolds, leaving a legacy for their children - who will have to face the consequences of these actions."
970,Behind the Candelabra,2.95/4,2013,Biography/Drama,NR,Steven Soderbergh,"Matt Damon, Michael Douglas, Rob Lowe","Based on the autobiography, the film explores the relationship between Liberace and his six-year relationship with young lover Scott Thorson."
971,What Maise Knew (2013),3.08/4,2013,Drama,R,"Scott McGehee, David Siegel","Julianne Moore, Steve Coogan, Alexander Skarsg̴rd","An updated take on Henry James' novel - in New York, aging rock star Susanna and major art dealer Beale begin a bitter custody battle. Caught in between is their daughter, 7-year-old Maise."
972,The Spectacular Now,2.93/4,2013,Comedy/Drama,R,James Ponsoldt,"Shailene Woodley, Miles Teller, Brie Larson","A high school senior enjoys living in ""the now"" - a steady job, the life of the party, a budding alcoholic - and no thoughts for the future. Yet when his girlfriend dumps him, a night of binge drinking finds him being awoken on the lawn by Aimee Finicky - a the ""nice"" girl with plans for the future. Their paths may be as different as can be - but somehow the two click."
973,Twenty Feet from Stardom,3.03/4,2013,Documentary,PG-13,Morgan Neville,"Lou Adler, Stephanie 'Stevvi' Alexander, Darlene Love","The divas, the lead singers, the talented band - we know the face of the popular groups, but behind every great band and singer is a talented backup singer. These voices provide the harmony and cohesion to the group - with none of the fame or recognition - until now."
974,Side Effects (2013),2.88/4,2013,Thriller,R,Steven Soderbergh,"Channing Tatum, Rooney Mara, Jude Law","In order to cope with the impending release of her husband from prison, a woman turns to an experimental anti-anxiety drug that has unintended and dangerous consequences."
975,The Inevitable Defeat of Mister & Pete,3.30/4,2013,Drama,R,George Tillman Jr.,"Anthony Mackie, Adewale Akinnuoye-Agbaje, Jennifer Hudson",Two inner-city youths must fend for themselves over the summer after their respective mothers are taken away by the authorities.
976,"Hijacking, A ( Kapringen )",3.03/4,2013,Drama/Thriller,R,Tobias Lindholm,"Pilou Asb_k, Sren Malling, Dar Salim","After Somali pirates take over a Danish cargo ship, they demand millions in ransom for the crew. As the negotiations with the mainland grow tense, the lives of the crew are threatened."
977,Stuck in Love ( Writers ),3.04/4,2013,Comedy/Drama,R,Josh Boone,"Logan Lerman, Jennifer Connelly, Greg Kinnear","Follows the lives of a writer, he ex and their teenaged children for one roller coaster ride of a year as each one experiences love in different ways."
978,Fast & Furious 6,2.84/4,2013,Action,PG-13,Justin Lin,"Vin Diesel, Dwayne Johnson, Paul Walker","Following their $100 million heist, Dom and his crew have found wealth, but they can never return to their homes. But there is hope to return to normality when Agent Hobbs offers them a deal - if the assembled crew can help topple a team of mercenary drivers whose crimes span 12 countries, their records will be cleared and past crimes pardoned. Dom agrees - but what will the personal cost be when he learns that one of the members he has to take down is Letty - the love of his life he thought dead?"
979,The World's End,2.85/4,2013,Comedy/Sci-Fi,R,Edgar Wright,"Simon Pegg, Nick Frost, Rosamund Pike",Two friends embark on one last pub crawl leading up to the world's end. Are these two drunks the last hope for humanity? It seems like it.
980,The Croods,2.86/4,2013,Animation/Adventure,PG,"Kirk De Micco, Chris Sanders","Ryan Reynolds, Nicolas Cage, Emma Stone","After their cave is unceremoniously destroyed, the world's first prehistoric family goes on a journey to find a new home and discovers a whole new world of fantastical creatures and wonders."
981,We Steal Secrets: The Story of WikiLeaks,3.00/4,2013,Documentary,R,Alex Gibney,"Julian Assange, Adrian Lamo","Documentary about Julian Assange, his website and the largest security breach in U.S history."
982,Warm Bodies,2.81/4,2013,Horror/Romance,PG-13,Jonathan Levine,"Analeigh Tipton, Teresa Palmer, John Malkovich","After a zombie eats a man in post apocalyptic times, he absorbs his memories and falls in love with the victim's unzombie girlfriend."
983,From Up on Poppy Hill ( Kokuriko-zaka kara ),2.97/4,2013,Anime/Drama,PG,Goro Miyazaki,"Gillian Anderson, Ron Howard, Christina Hendricks","As the 1964 Olympics looks to change the face of Tokyo, a group of spirited Yokohama teens work to save their school's clubhouse from the wrecking ball in preparation for the games."
984,"Secret Life of Walter Mitty, The (2013)",2.85/4,2013,Comedy/Adventure,PG,Ben Stiller,"Ben Stiller, Kristen Wiig, Shirley MacLaine",Walter Mitty is a timid magazine photo manager who finds the only adventure in his life through vivid daydreams... that is until a negative goes missing and he finds real life becoming more interesting than his imagination.
985,Lee Daniels' The Butler,2.86/4,2013,Biography/Drama,PG-13,Lee Daniels,"Forest Whitaker, Oprah Winfrey, David Oyelowo","Focuses on the life of Eugene Allen, a man who served as head butler for the White House from 1952-1986 - and his unique insight into the changing landscape of politics and race as her served eight different presidents."
986,All is Lost,2.84/4,2013,Action,PG-13,J.C. Chandor,Robert Redford,"A lone sailor is forced to put all his skills and resourcefulness to the test after a collision with a shipping container and a looming storm, threaten his life."
987,Justice League: The Flashpoint Paradox,3.00/4,2013,Animation/Action,PG-13,Jay Oliva,"Justin Chambers, C. Thomas Howell, Michael B. Jordan","Barry suddenly wakes-up baffled when he sees his mother alive. He notices that things have changed like Batman being darker, a war between the army of Aquaman and Wonde Worman are happening, heroes die and the end of the world arriving. Only the Flash can change everything back to normal."
988,Epic,2.81/4,2013,Animation/Adventure,PG,Chris Wedge,"Beyonc̩ Knowles, Josh Hutcherson, Amanda Seyfried","Based on the book by William Joyce, when an evil Spider Queen threatens their garden home, an army of bugs summons mystical creatures known as Leaf Men to fight for them."
989,Much Ado About Nothing (2013),2.93/4,2013,Comedy/Drama,PG-13,Joss Whedon,"Amy Acker, Alexis Denisof, Spencer Treat Clark",Joss Whedon updates Shakespeare's classic tale about a pair of lovers with two different outlooks on love.
990,Kon-Tiki ( 2013 ),2.91/4,2013,Adventure/Biography,PG-13,"Joachim Rnning, Espen Sandberg","P̴l Sverre Valheim Hagen, Anders Baasmo Christiansen, Gustaf Skarsg̴rd",Based on the true story when Thor Heyerdahl and his crew crossed the Pacific Ocean.
991,Man of Steel,2.74/4,2013,Action/Fantasy,PG-13,Zack Snyder,"Henry Cavill, Diane Lane, Kevin Costner","Kal-El was sent away from his doomed home planet of Krypton by his father. After crash landing on Earth, he is found by the Kent family and they raise him as their own, Clark Kent, teaching him their values. Realising he has great power among humans, Clark must now face up to his first grave challenge, General Zod, who led a rebellion on his home planet."
992,Insidious: Chapter 2,2.82/4,2013,Horror,PG-13,James Wan,"Rose Byrne, Patrick Wilson, Lin Shaye",The Lambert family needs to figure out why their family is tied to the deadly spirit world and it involves delving in a dark family secret but it must be done before they are all claimed.
993,56 Up,3.06/4,2013,Documentary,NR,"Michael Apted, Paul Almond","Michael Apted, Bruce Balden, Neil Hughes","Michael Apted's long-running documentary about the lives of a group of British individuals - started in 1963 and recorded every seven years since - catches up with the familiar faces, who are now 56 years old."
994,This is the End,2.74/4,2013,Action/Comedy,R,"Evan Goldberg, Seth Rogen","James Franco, Jonah Hill, Seth Rogen","While attending a party at James Franco's house, a group of celebrities (including Jonah Hill, Seth Rogen, Jay Baruchel and Danny McBride amongst others) must cope with an impending apocalypse."
995,"Great Gatsby, The (2013)",2.75/4,2013,Drama/Romance,PG-13,Baz Luhrmann,"Leonardo DiCaprio, Carey Mulligan, Joel Edgerton","Based on the novel by F. Scott Fitzgerald: when Midwesterner Nick Carraway moves to Long Island, he becomes fascinated and then drawn in to the world of the lavish lifestyle of his neighbor Jay Gatsby. But he soon sees beneath the veneer of his ""perfect"" life where obsession, tragedy and madness all await."
996,Into the White ( Cross of Honour ),2.96/4,2013,Action/Drama,R,Petter N_ss,"Florian Lukas, David Kross, Stig Henrik Hoff","During WWII a German and British pilot shoot each other down. They both survive and find themselves in the same cabin during the brutal Norwegian winter. In order to brave this ordeal, the two men will have to work together, forming a most unlikely friendship."
997,2 Guns,2.77/4,2013,Action/Crime,R,Baltasar Kormkur,"Mark Wahlberg, Denzel Washington, James Marsden",A DEA agent and an undercover naval officer find themselves investigating each other only to find it is a setup by the mob - the organization each man believes they have been stealing from.
998,Drug War ( Du zhan ),3.00/4,2013,Crime,R,Johnnie To,"Louis Koo, Honglei Sun, Yi Huang","An accident lands a drug kingpin in the hands of police and he makes a deal: he will become an undercover agent in order to avoid the death penalty. But even though he initially helps out, the police captain suspects he has ulterior motives that could threaten the entire operation."
999,Turbo,2.79/4,2013,Animation/Adventure,PG,David Soren,"Ryan Reynolds, Paul Giamatti, Samuel L. Jackson","A snail tired of living a snail-paced life dreams of speed, just like his hero five-time Indy 500 champion Guy Gagne - much to the horror of the snail community, especially his cautious older brother Chet. A freak accident suddenly gives him the chance to live his dream and starts him on an extraordinary journey that proves nothing is impossible."
1000,"Bless Me, Ultima",3.25/4,2013,Drama/War,PG-13,Carl Franklin,"Luke Ganalon, Miriam Colon, Benito Martinez",Mexico - WWII - a young man seeks out the help of an elderly medicine woman hoping to put an end to the battle between good and evil that has taken over his village.
1001,No (2013),2.85/4,2013,Drama,R,Pablo Larra_n,"Gael Garc_a Bernal, Alfredo Castro, Antonia Zegers","In 1988, Chile's military dictator Augusto Pinochet is forced by the international community to hold a referendum to decide if he will continue his rule. Despite tremendous pressure and constant scrutiny by Pinochet's agents, the opposition comes up with a bold plan, spear-headed by Ren̩ Saavedra, a young advertising executive."
1002,Trance (2013),2.75/4,2013,Crime/Drama,R,Danny Boyle,"James McAvoy, Vincent Cassel, Rosario Dawson","An art auctioneer gets involved with a gang of criminals. In order to recover a priceless lost painting, her turns to a hypnotherapist. But as reality, desire and hypnotic suggestion collide - things become complicated and more dangerous than anyone could have anticipated."
1003,"Heat, The (2013)",2.71/4,2013,Comedy,R,Paul Feig,"Sandra Bullock, Melissa McCarthy, Tony Hale","A by-the-books FBI agent must team up with a hot-headed Boston cop in order to bring down a dangerous drug lord. The only problem is the two women have never had a partner, nor even a true friend in their lives, and must somehow make their incompatible personalities work."
1004,Redemption (2013),2.78/4,2013,Action/Thriller,R,Steven Knight,"Jason Statham, Lee Asquith-Coe, Vicky McClure","An ex-special forces agent, homeless and trying to avoid a court martial, navigates London's criminal underworld. When he comes upon an opportunity to assume a new identity - it allows him to be reborn - and become an avenging angel in the process."
1005,Ernest & Celestine ( Ernest et C̩lestine ),2.91/4,2013,Animation,PG,"St̩phane Aubier, Vincent Patar, Benjamin Renner","Lambert Wilson, Pauline Brunner, Anne-Marie Loop",Explores the unlikely friendship between a bear (Ernest) and a mouse (Celestine).
1006,Fill the Void ( Lemale et ha'halal ),3.00/4,2013,Drama,PG,Rama Burshtein,"Yiftach Klein, Renana Raz, Ido Samuel","This is about Shira (Hadas Yaron) the youngest Mendelman, an ultra-orthodox Jewish family living in the city of Tel-Aviv. She is about to marry a boy of his age and is very excited about the plans and preparations for the wedding. However, the illusion falls apart when suddenly, celebrating the Jewish holiday of Purim, her sister Esther (Rhenish Raz) dies leaving her husband alone, Yochai (Yiftach Klein) and young son."
1007,Metro Manila,3.10/4,2013,Action/Crime,NR,Sean Ellis,"Jake Macapagal, Althea Vega, John Arcilla",
1008,I Am Divine,3.10/4,2013,Documentary,NR,Jeffrey Schwarz,"Jayne Mansfield, John Waters, Divine",
1009,Stoker,2.73/4,2013,Drama/Horror,R,Chan-wook Park,"Nicole Kidman, Mia Wasikowska, Dermot Mulroney","After her father dies in an accident, India Stoker's mysterious uncle - a person who she didn't even know existed until he showed up - helps deal with her unstable mother. Even though she suspects he has his own motives, she finds herself increasingly infatuated with him."
1010,Emperor,2.83/4,2013,Drama/Historical,PG-13,Peter Webber,"Tommy Lee Jones, Matthew Fox, Kaori Momoi","As WWII draws to a close, General Bonner Fellers is charged with deciding whether Japanese Emperor Hirohito will be hanged for war crimes. Even as the decision weighs heavy in his mind, he searches for Aya, an exchange student from his past."
1011,What Richard Did,2.94/4,2013,Drama,NR,Lenny Abrahamson,"Jack Reynor, Roisin Murphy, Sam Keeley","Richard Karlsen is a South Dublin teen who seems to have it all - privilege, prestige - the top alpha male of his group of friends. But after he graduates, and before he attends university, there is one last summer - and a single act will bring his world crumbling down around him."
1012,The Wolverine,2.65/4,2013,Action/Sci-Fi,PG-13,James Mangold,"Hugh Jackman, Tao Okamoto, Hiroyuki Sanada","Wolverine travels to Japan, searching for answers and guidance. Adamantium meets Samurai steel when a mysterious figure from his past shows up, leading to an epic battle that will forever change his path."
1013,Elysium,2.65/4,2013,Drama/Sci-Fi,R,Neill Blomkamp,"Matt Damon, Jodie Foster, William Fichtner","In the year 2159 the ultra-wealthy live in luxury and pristine conditions on the man-made space station Elysium while the majority of the people must get by living on an overpopulated, ruined Earth. While some work to preserve the lifestyles of rich by keeping immigration under control, others on Earth will stop at nothing to make sure equality is brought to everyone."
1014,Riddick,2.67/4,2013,Action/Sci-Fi,R,David Twohy,"Vin Diesel, Karl Urban, Katee Sackhoff","Betrayed and left for dead on a sun-scorched planet, Riddick fights for survival against vicious predators - and in the process becomes more powerful than before. The only way off is to activate a beacon - a beacon that brings bounty hunters and mercenaries directly to him - including one that is very personal. If he hopes to escape, he will have to fight his way out."
1015,Populaire,3.00/4,2013,Comedy,R,R̩gis Roinsard,"Romain Duris, D̩borah Fran̤ois, B̩r̩nice Bejo","A woman who thinks she is destined to a drudgery-filled home life takes a trip to  Lisieux in Normandy and interviews for a secretarial job. Although the interview goes miserably, her would-be boss discovers she has a great skill - she is an amazing typist. It awakens his competitive spirit and he determines to turn her into the fastest typist in the world."
