id,Title,Overall Rating,Year,Genre,MPAA Rating,Directors,Actors,Plot
1914,It's Complicated,2.73/4,2009,Romance,R,Nancy Meyers,"Robert Adamson, Meryl Streep, John Krasinski","A woman begins an affair with her ex-husband, despite the fact he's now married to the woman he had left her for. To complicate matters, she's also drawn to a potential new love."
1915,Sunshine Cleaning,2.76/4,2009,Comedy,R,Christine Jeffs,"Amy Adams, Alan Arkin, Emily Blunt","In order to send her son to a private school a mother, along with her unreliable sister, start a biohazard removal/ crime scene clean-up service."
1916,"Last House on the Left, The (2009)",2.73/4,2009,Horror/Thriller,R,Dennis Iliadis,"Spencer Treat Clark, Joshua Cox, Garret Dillahunt",Remake of the 1972 film that finds a gang of criminals getting a taste of their own medicine after running into the parents of one of the girls they brutally assaulted.
1917,Ice Age: Dawn of the Dinosaurs,2.72/4,2009,Adventure/Animation,PG,Carlos Saldanha,"John Leguizamo, Ray Romano, Queen Latifah","First came the Ice Age, then The Meltdown and now a new age approaches. With Manny and Ellie expecting a baby, and even acron-loving Scrat finding a potential love, Sid finds himself in need of a family. But when he steals some dinosaur eggs to reach his goal, it leads him to a dangerous underground world."
1918,Superman/Batman: Public Enemies,2.91/4,2009,Animation/Action,PG-13,Sam Liu,"Clancy Brown, Tim Daly, Kevin Conroy","In the ultimate play for power, megalomaniacal villain Lex Luthor pits Superman and Batman against the public by stripping away their hard-earned superhero status and re-branding them as rogue outcasts who can't be trusted."
1919,My Sister's Keeper,2.76/4,2009,Drama,PG-13,Nick Cassavetes,"Alec Baldwin, Cameron Diaz, Abigail Breslin","Young Anna Fitzgerald has spent her entire life at the operating table, at the hospital, at the clinic but not because she is sick, but because she is a genetic match to her older sister who needs her bone morrow to fight the leukemia in her body. Now that she is older, she questions this life leading to a decision that may tear the family apart."
1920,Black Dynamite,2.78/4,2009,Action/Comedy,R,Scott Sanders,"Michael Jai White, Mykelti Williamson, Nicole Sullivan",Black Dynamite is an ex-cia agent that is going to make the streets run red when his brother overdoes on drugs. He uses his kung-fu to avenge his death and kill all the people responsible.
1921,Ninja Assassin,2.75/4,2009,Action,R,James McTeigue,"Randall Duk Kim, Naomie Harris, Sung Kang",A European agent and ex-assassin must join forces to bring down the mythical Ozunu Clan of underground assassins.
1922,Sword of the Stranger ( Sutorejia: Muk̫ hadan ),2.86/4,2009,Anime/Action,NR,Masahiro And̫,"Yki Chinen, Tomoya Nagase, Akio tsuka",
1923,Goemon,3.25/4,2009,Action/Drama,NR,Kazuaki Kiriya,"Y̫suke Eguchi, Takao sawa, Ryoko Hirosue","In 1582 with the intention to dominate the world of Oda Nobunaga in the

instinct of Temple was the assassination of the anti-Chen Akechi Mitsuhide.

Toyotomi Hideyoshi Nobunaga's right hand man crusade against Akechi Mitsuhide revolted and established the Toyotomi regime..."
