,movie_id,genre_id,genre_name
1639,562,6,Drama
1640,563,0,Crime
1641,563,1,Horror
1642,563,2,Thriller
1643,564,0,Crime
1644,564,6,Drama
1645,564,7,Action
1646,564,5,Adventure
1647,564,2,Thriller
1648,565,15,Family
1649,565,6,Drama
1650,565,14,Fantasy
1651,565,7,Action
1652,565,5,Adventure
1653,566,14,Fantasy
1654,566,9,Sci-Fi
1655,566,7,Action
1656,566,5,Adventure
1657,567,16,Romance
1658,567,6,Drama
1659,568,2,Thriller
1660,568,6,Drama
1661,569,0,Crime
1662,569,6,Drama
1663,569,7,Action
1664,569,5,Adventure
1665,570,9,Sci-Fi
1666,570,7,Action
1667,570,5,Adventure
1668,571,14,Fantasy
1669,571,7,Action
1670,571,5,Adventure
1671,572,8,Mystery
1672,572,1,Horror
1673,572,2,Thriller
1674,573,14,Fantasy
1675,573,7,Action
1676,573,5,Adventure
1677,574,16,Romance
1678,574,14,Fantasy
1679,574,6,Drama
1680,575,15,Family
1681,575,4,Animation
1682,575,9,Sci-Fi
1683,575,5,Adventure
1684,576,1,Horror
1685,576,9,Sci-Fi
1686,576,7,Action
1687,577,6,Drama
1688,577,3,Comedy
1689,578,1,Horror
1690,578,2,Thriller
1691,579,0,Crime
1692,579,6,Drama
1693,580,16,Romance
1694,580,1,Horror
1695,580,6,Drama
1696,581,1,Horror
1697,581,2,Thriller
1698,582,15,Family
1699,582,4,Animation
1700,582,6,Drama
1701,583,0,Crime
1702,583,6,Drama
1703,583,7,Action
1704,584,6,Drama
1705,585,0,Crime
1706,585,6,Drama
1707,585,3,Comedy
1708,586,16,Romance
1709,586,3,Comedy
1710,587,4,Animation
1711,587,6,Drama
1712,587,3,Comedy
1713,588,0,Crime
1714,588,6,Drama
1715,588,2,Thriller
1716,588,7,Action
1717,589,7,Action
1718,589,3,Comedy
1719,590,8,Mystery
1720,590,1,Horror
1721,590,2,Thriller
1722,591,16,Romance
1723,591,14,Fantasy
1724,591,3,Comedy
1725,592,16,Romance
1726,592,6,Drama
1727,593,16,Romance
1728,593,6,Drama
1729,593,3,Comedy
1730,594,2,Thriller
1731,594,9,Sci-Fi
1732,595,16,Romance
1733,595,6,Drama
1734,595,3,Comedy
1735,596,0,Crime
1736,596,2,Thriller
1737,596,7,Action
1738,597,6,Drama
1739,597,7,Action
1740,597,5,Adventure
1741,598,6,Drama
1742,598,3,Comedy
1743,599,14,Fantasy
1744,599,15,Family
1745,599,3,Comedy
1746,600,0,Crime
1747,600,6,Drama
1748,600,7,Action
1749,601,16,Romance
1750,601,9,Sci-Fi
1751,601,6,Drama
1752,602,2,Thriller
1753,602,6,Drama
1754,603,8,Mystery
1755,603,6,Drama
